newspaper_name,article_title,publication_date,change_id,change_content,change_timestamp,classification
20 Minuten,Attentäter drohte seinem Anwalt: «Ich werde sie abschlachten»,2025-11-10 09:46:08,,,,
20 Minuten,"Jetzt sprechen die Opfer: «Ich habe etwa 3,5 Liter Blut verloren»",2025-11-10 09:46:08,,,,
20 Minuten,«Deprimierend»: Shay Mitchell lanciert Kosmetik für Dreijährige,2025-11-10 11:09:52,,,,
20 Minuten,Kosovo braucht ein Wunder – so qualifiziert sich Nati für die WM,2025-11-10 17:11:00,,,,
20 Minuten,Einsatz kommt zu früh: Nati-Ass reist nicht in den Kosovo,2025-11-10 17:11:00,,,,
20 Minuten,Albanien-Rücktritt: GC-Captain macht Schluss,2025-11-10 17:11:00,,,,
20 Minuten,FCZ holt Multimillionär als Lead Independent Director an Bord,2025-11-10 17:11:00,,,,
20 Minuten,FCZ-Stammspieler erleidet Verletzung am Innenband,2025-11-10 17:11:00,,,,
20 Minuten,Topschiris machen Teamausflug ins Fifa-Museum,2025-11-10 17:11:00,,,,
20 Minuten,Luxemburg-Blamage wird zum Verhängnis – Naticoach entlassen,2025-11-10 17:11:00,,,,
20 Minuten,Lausanne kassiert erste Niederlage der Conference League,2025-11-10 17:11:00,,,,
20 Minuten,So hart werden die FCZler bestraft – weiteres Verfahren eröffnet,2025-11-10 17:11:00,,,,
20 Minuten,Fans haben gewählt – so heisst das Stadion in St. Gallen,2025-11-10 17:11:00,,,,
20 Minuten,Riesen-Blamage gegen Fussballzwerg: U21 verliert gegen Luxemburg,2025-11-10 17:11:00,13836,"--- Database Content\n
+++ Fetched Content\n
@@ -3,4 +3,5 @@\n
 Während die Schweizer von dannen zogen, feierten die Luxemburger den Sieg wie ein Titelgewinn. 
 Sinnbildlich war das Eigentor von St. 
 Gallens Verteidiger Cyrill May, der den Ball nach einer Hereingabe ohne Druck ins eigene Tor befördert. 
-Die Schweiz droht nun, die EM zu verpassen.
+Die Schweiz droht nun, die EM zu verpassen.

Ebenfalls eine Schlappe musste das U19-Team hinnehmen – und was für eine. 
+Gegen Dänemark wollten die Schweizer eigentlich die Tabellenführung festigen, kassierte aber sieben Gegentore und verloren gleich 0:7.",2025-11-18 21:41:02.984114,content change
20 Minuten,Technischer Defekt beim Flugi: Lausanne sitzt in Polen fest,2025-11-10 17:11:00,119157,"--- Database Content\n
+++ Fetched Content\n
@@ -1,4 +1,4 @@\n
-28.11.2025

Fr 14:41

Auf die Pleite in Lech Posen folgt für Lausanne das nächste Problem. 
-Ein technischer Defekt legte den Charter-Flug am Freitagmorgen lahm.

Wie Kommentator Michaël Bugnon von blue, der im gleichen Flieger sass, berichtet, sei der Defekt kurz vor Start festgestellt worden. 
+28.11.2025

Fr 14:41

Auf die Pleite gegen Lech Posen folgt für Lausanne das nächste Problem. 
+Ein technischer Defekt legte den Charter-Flug am Freitagmorgen lahm.

Wie Kommentator Michaël Bugnon von Blue, der im gleichen Flieger sass, berichtet, sei der Defekt kurz vor Start festgestellt worden. 
 Die Spieler wurden anschliessend in ein Hotel geschickt, wo es Mittagessen gab. 
-Um 15 Uhr soll ein nächster Flieger zurück in die Schweiz reisen.

Lausanne trifft am Sonntag auf Thun - den Leader der Super League.
+Um 15 Uhr soll ein nächster Flieger zurück in die Schweiz reisen.

Lausanne trifft am Sonntag auf Thun – den Leader der Super League.",2025-11-29 15:30:56.169678,content change
20 Minuten,An diesen Orten entfliehst du dem kalten und grauen November,2025-11-11 03:46:48,,,,
20 Minuten,Zieht Zohran Mamdani aus seiner Mini-Wohnung in dieses Anwesen?,2025-11-11 09:36:33,,,,
20 Minuten,Kein Alkohol nach Mitternacht: Thailand verschärft Gesetz,2025-11-11 09:37:20,,,,
20 Minuten,iPhone Air floppt – nächstes Jahr soll es keinen Nachfolger geben,2025-11-11 11:42:19,,,,
20 Minuten,"Finger weg von Milch, wenn du erkältet bist – stimmt das?",2025-11-11 12:25:04,,,,
20 Minuten,Polarisierung: Darf ein Hotelier eine politische Meinung haben?,2025-11-11 14:25:55,,,,
20 Minuten,"Auf dieser deutschen Tour zahlst du, um beleidigt zu werden",2025-11-11 15:16:26,,,,
20 Minuten,Alex kam fast ohne Gehirn zu Welt und feiert jetzt 20. Geburtstag,2025-11-11 20:25:32,,,,
20 Minuten,«Erbärmlich»: KI-Betrüger ergaunern ihr Essen beim Lieferservice,2025-11-12 03:30:09,,,,
20 Minuten,«Schwarze Socken in Sneakers sind ein absolutes No-Go»,2025-11-12 03:31:05,,,,
20 Minuten,Netflix eröffnet ersten Park: Welcome im «Netflix House»,2025-11-12 03:54:18,,,,
20 Minuten,Wird etwas – oder jemand – das Gemetzel im Sudan beenden?,2025-11-12 05:00:00,,,,
20 Minuten,Einfach mal abhauen,2025-11-12 08:57:41,,,,
20 Minuten,«220 Dollar für eine Socke?!» – iPhone-Tasche sorgt für Spott,2025-11-12 11:10:49,,,,
20 Minuten,Renault bringt den Twingo zurück – aber anders als früher,2025-11-12 13:28:06,,,,
20 Minuten,"Dein Fitnesstracker verrät dir, ob du bald krank wirst",2025-11-12 15:35:47,,,,
20 Minuten,Reinigt Pulver besser als Geschirrspülpods?,2025-11-12 16:32:38,,,,
20 Minuten,"Warm um den Hals, aber Knoten im Haar? 5 Tricks helfen",2025-11-12 17:34:30,,,,
20 Minuten,Gefeiert und gehasst: Die umstrittenste Frau Hollywoods,2025-11-13 03:47:24,,,,
20 Minuten,BMW-Fahrer rast mit Löwe durch Stadt – KI oder echt?,2025-11-13 08:50:05,,,,
20 Minuten,Audi zündet den Turbo und zeigt seinen ersten Formel-1-Boliden,2025-11-13 09:01:46,,,,
20 Minuten,«Perfekt»: Das Netz ist verrückt nach diesem Basic-Langarmshirt,2025-11-13 09:11:58,,,,
20 Minuten,Auffahrkollision auf der A22: Vier Menschen verletzt,2025-11-13 10:06:34,,,,
20 Minuten,Sie soll Rausch entstauben: «Wir sind keine Lifestyle-Marke»,2025-11-13 10:34:27,,,,
20 Minuten,Darum solltest du Peperoni-Kerne mitessen,2025-11-13 10:35:30,,,,
20 Minuten,Ehefrau von Bruce Willis will sein Gehirn spenden,2025-11-13 12:58:56,,,,
20 Minuten,«F**k Matcha» – Deutscher Barista schiesst gegen Trendgetränk,2025-11-13 13:13:45,,,,
20 Minuten,"5 Dinge in deiner Wohnung, die stinken, ohne dass du es merkst",2025-11-13 14:31:40,,,,
20 Minuten,Gewaltvorwürfe gegen Polizisten – Kapo suspendiert Beschuldigten,2025-11-13 14:43:42,,,,
20 Minuten,"Ricola bringt Schal heraus, der nach Kräuterbonbons riecht",2025-11-13 15:52:06,,,,
20 Minuten,Silo kippt und reisst Bauarbeiter in die Tiefe – schwer verletzt,2025-11-13 15:59:46,,,,
20 Minuten,«Unberechenbar»: So reden Kinder über Burger-King-Messerstecher,2025-11-13 16:05:12,,,,
20 Minuten,Schluss mit Menü-Planungsstress – dieser Prompt hilft dir dabei,2025-11-13 17:11:32,,,,
20 Minuten,Erkältungsbad? Eine gute Idee – aber nicht für alle,2025-11-13 19:26:02,,,,
20 Minuten,Nina Chuba trägt Jäckli von Zürcher It-Label,2025-11-13 20:11:03,,,,
20 Minuten,Blue Origin legt mit 98 Meter langer Rakete Traumstart hin,2025-11-14 02:21:03,,,,
20 Minuten,"Männer trainieren, um mit Frauen zu duschen – daran liegts",2025-11-14 03:56:10,,,,
20 Minuten,12 Tonnen Stahl auf A13 verloren: Bergung dauert mehrere Stunden,2025-11-14 09:03:50,,,,
20 Minuten,Ist Matcha nachhaltiger als Kaffee?,2025-11-14 09:46:56,,,,
20 Minuten,Russischer KI-Roboter fällt bei Präsentation auf die Nase,2025-11-14 10:15:52,,,,
20 Minuten,Hattest du schon einmal Sex unter Alkoholeinfluss?,2025-11-14 10:58:28,,,,
20 Minuten,Igitt: In dieser Stadt sind die öffentlichen WCs besonders eklig,2025-11-14 11:08:05,,,,
20 Minuten,Erwerbslosenquote in der Schweiz übersteigt die 5-Prozent-Marke,2025-11-14 11:10:33,,,,
20 Minuten,Wettbewerb 20-Minuten-App: Teilnahmebedingungen,2025-11-14 11:20:10,,,,
20 Minuten,SVP lobt eigenen Bundesrat – doch es ist eine Falschmeldung,2025-11-14 12:23:06,,,,
20 Minuten,Zu hohe PFAS-Belastung:  Verkaufsstopp für Hechte und Eglis,2025-11-14 13:19:22,,,,
20 Minuten,Steinzeit-Hunde zeigen: Die grosse Vielfalt begann blitzartig,2025-11-14 13:48:20,,,,
20 Minuten,Nach Tragödie: «Hätte Hunde aufnehmen und pflegen können»,2025-11-14 14:26:10,,,,
20 Minuten,«Es sind grosse Verluste» – Friends Bar in Basel schliesst,2025-11-14 14:32:35,,,,
20 Minuten,Amélie (11) testet den neuen Porsche 911 Targa 4S,2025-11-14 14:35:09,,,,
20 Minuten,Kleinflugzeug muss mit vier Personen an Bord notlanden,2025-11-14 14:51:31,,,,
20 Minuten,"Stylish, aber kalt: Dieser Jacken-Trend ist nichts für Gfrörli",2025-11-14 14:55:56,,,,
20 Minuten,Matt Damon: «‹The Odyssey› ist beste Erfahrung meiner Karriere»,2025-11-14 15:12:34,,,,
20 Minuten,Bei dir läuft Musik 24/7? Das könnte dir schaden,2025-11-14 16:05:49,,,,
